theni_tamil,normal_tamil
நீங்க எப்படி இருக்கீங்க,நீங்கள் எப்படி இருக்கிறீர்கள்
இன்னைக்கு மழை பெய்யுது,இன்று மழை பெய்கிறது
நான் சாப்பிட போறேன்,நான் சாப்பிட போகிறேன்
அவரு வீட்டுக்கு வராரு,அவர் வீட்டிற்கு வருகிறார்
இது ரொம்ப நல்லது,இது மிகவும் நல்லது
எங்க போறீங்க,எங்கு போகிறீர்கள்
நான் உங்களை பாக்கிறேன்,நான் உங்களை பார்க்கிறேன்
அவ ரொம்ப அழகா இருக்கா ,அவள் மிகவும் அழகாக இருக்கிறாள்
நீங்க எப்படி இருக்கீங்க,நீங்கள் எப்படி இருக்கிறீர்கள்
இன்னைக்கு மழை பெய்யுது,இன்று மழை பெய்கிறது
நான் சாப்பிட போறேன்,நான் சாப்பிட போகிறேன்
அவரு வீட்டுக்கு வராரு,அவர் வீட்டிற்கு வருகிறார்
இது ரொம்ப நல்லது ,இது மிகவும் நல்லது
சூரியன்னா என்னதுப்பா,சூரியன்னா என்ன
வானம் ஏன் ப்ளூவா இருக்குன்னு விவரமாசொல்லுங்க,வானம் ஏன் ப்ளூவா இருக்கு
கிராவிட்டினா (Gravity) என்னன்னு புரியுற மாதிரி மொக்கையாசொல்லுங்க,கிராவிட்டினா என்னனு ஈஸியாசொல்லுங்க
வானவில் (Rainbow) எப்புடி வருது,ரெயின்போவா என்ன
பறவைங்க எப்புடி காத்துல மிதந்து பறக்குது,பறவைங்க எப்படி பறக்குது
மனுஷன் ஏன் டெய்லி தூங்கணும்,நம்ம ஏன் தூங்குறோம்
வாட்டர் சைக்கிள்னா என்ன அந்த மழை எப்புடி வருதுன்னுசொல்லுங்க,வாட்டர் சைக்கிள்னா என்ன
பகலும இரவு எப்புடி மாறி மாறி வருதுன்னு ஒரு கணக்குசொல்லுங்க,பகலும் இரவும் எப்படி வருதுனுசொல்லுங்க
கோள்கள் (Planet)-னா என்னன்னு தெரியுமா,பிளானட்டுனா என்ன
நைட்டுல நட்சத்திரம் ஏன் மினுக்கு மினுக்குன்னு மின்னுது,ஸ்டார்ஸ் ஏன் மினுக்குது
இந்த மேத்ஸ் கணக்க போட்டு குடுங்கப்பா,இந்த மேத்ஸ் ப்ராப்ளத்தை சால்வ் பண்ணுங்க
இந்த பாடத்தை கொஞ்சம் புரியுற மாதிரி விளக்கு,இந்த லெசனை ஈஸியா எக்ஸ்ப்ளைன் பண்ணுங்க
என் ஸ்கூல பத்தி ஒரு வரிசொல்லுங்க,என் ஸ்கூல் பத்தி ஒரு லைன் எழுதுங்க
ஹோம்வொர்க் பண்ண எனக்கு கொஞ்சம் ஹெல்ப் பண்ணுங்கப்பு,ஹோம்வொர்க் பண்ண எனக்கு ஹெல்ப் பண்ணுங்க
இந்த பாடத்துல இருந்து நாலு கேள்விய ரெடி பண்ணுங்க,இந்த லெசன்ல இருந்து கேள்விகள் ரெடி பண்ணுங்க
இந்த வார்த்தைக்கு என்ன அர்த்தம்னுசொல்லுங்க,இந்த வேர்டுக்கு என்ன அர்த்தம்னுசொல்லுங்க
மரம் செடி கொடி பத்தி ஒரு பாராவா எழுது,மரங்கள் பத்தி ஒரு பாராவாக எழுதுங்க
