Theni_Tamil,English_Translation
என்னடா இப்படி பேசுற,Why are you talking like this?
சாப்பிட்டாச்சா,Have you eaten?
எங்க போற,Where are you going?
அவனுக்கு சும்மா கோபம்,He gets angry for no reason.
நாளைக்கு வருவியா,Will you come tomorrow?id,theni_tamil_sentence
1,இன்னைக்கு காலையில சீக்கிரமா எழுந்தேன்
2,இன்னைக்கு ரொம்ப குளிரா இருக்கு
3,நான் ஸ்கூலுக்கு போறேன்
4,அவன் வேலைக்கு போனான்
5,அவள் வீட்டுல இருக்கா
6,சாப்பாடு ரெடியா ஆயிடுச்சு
7,எனக்கு பசிக்குது
8,நீ எங்க போற
9,நான் இப்பவே வர்றேன்
10,இன்னும் கொஞ்ச நேரம் இரு
11,இன்னைக்கு லீவு நாள்
12,நாளைக்கு எக்ஸாம் இருக்கு
13,அவன் நல்ல ஃப்ரெண்டு
14,அவள் நல்லா பேசுறா
15,இப்ப மழை பெய்யுது
16,வெளிய போகாத
17,கதவ மூடு
18,லைட்ட ஆஃப் பண்ணு
19,போன எடு
20,எனக்கு ஹெல்ப் பண்ணு
21,அவன் உண்மையா சொன்னான்
22,அவள் சிரிச்சா
23,இன்னைக்கு வேலை ஜாஸ்தி
24,நான் ரொம்ப டயர்டா இருக்கேன்
25,சீக்கிரம் வா
26,மெதுவா பேசு
27,அமைதியா இரு
28,கவலைப்படாத
29,எல்லாம் சரியா ஆயிடும்
30,நாளைக்கு சந்தைக்கு போகணும்
31,காய்கறி வாங்கணும்
32,மழை வர்ற மாதிரி இருக்கு
33,கிணத்துல தண்ணி குறைஞ்சிருக்கு
34,தோட்டத்துல வேலை இருக்கு
35,இன்னைக்கு சாமி கும்பிட்டோம்
36,ஊர்ல திருவிழா இருக்கு
37,குழந்தை அழுகுது
38,அம்மா கூப்பிட்டாங்க
39,அப்பா இப்போ தான் வந்தார்
40,பஸ்ஸு லேட்டா வந்துச்சு
41,ரோடு ரொம்ப மோசமா இருக்கு
42,போன் சார்ஜ் இல்ல
43,நெட்வொர்க் சரியா இல்ல
44,இன்னும் கொஞ்ச நேரம் வேணும்
45,சரி விடு
46,பரவாயில்ல
47,அவன் சொல்ல வந்தது புரிஞ்சுது
48,நீ கவலைப்படாத
49,நம்பிக்கையா இரு
50,எல்லாம் நம்ம பக்கம் தான்
