normal_tamil,theni_tamil
நீங்கள் எப்படி இருக்கிறீர்கள்,நீங்க எப்படி இருக்கீங்க
இன்று மழை பெய்கிறது,இன்னைக்கு மழை பெய்யுது
நான் சாப்பிட போகிறேன்,நான் சாப்பிட போறேன்
அவர் வீட்டிற்கு வருகிறார்,அவரு வீட்டுக்கு வராரு
இது மிகவும் நல்லது,இது ரொம்ப நல்லது
எங்கு போகிறீர்கள்,எங்க போறீங்க
நான் உங்களை பார்க்கிறேன்,நான் உங்களை பாக்கிறேன்
அவள் மிகவும் அழகாக இருக்கிறாள்,அவ ரொம்ப அழகா இருக்கா 
நீங்கள் எப்படி இருக்கிறீர்கள்,நீங்க எப்படி இருக்கீங்க
இன்று மழை பெய்கிறது,இன்னைக்கு மழை பெய்யுது
நான் சாப்பிட போகிறேன்,நான் சாப்பிட போறேன்
அவர் வீட்டிற்கு வருகிறார்,அவரு வீட்டுக்கு வராரு
இது மிகவும் நல்லது,இது ரொம்ப நல்லது 
சூரியன்னா என்ன,சூரியன்னா என்னதுப்பா
வானம் ஏன் ப்ளூவா இருக்கு,வானம் ஏன் ப்ளூவா இருக்குன்னு விவரமாசொல்லுங்க
கிராவிட்டினா என்னனு ஈஸியாசொல்லுங்க,கிராவிட்டினா (Gravity) என்னன்னு புரியுற மாதிரி மொக்கையாசொல்லுங்க
ரெயின்போவா என்ன,வானவில் (Rainbow) எப்புடி வருது
பறவைங்க எப்படி பறக்குது,பறவைங்க எப்புடி காத்துல மிதந்து பறக்குது
நம்ம ஏன் தூங்குறோம்,மனுஷன் ஏன் டெய்லி தூங்கணும்
வாட்டர் சைக்கிள்னா என்ன,வாட்டர் சைக்கிள்னா என்ன அந்த மழை எப்புடி வருதுன்னுசொல்லுங்க
பகலும் இரவும் எப்படி வருதுனுசொல்லுங்க,பகலும இரவு எப்புடி மாறி மாறி வருதுன்னு ஒரு கணக்குசொல்லுங்க
பிளானட்டுனா என்ன,கோள்கள் (Planet)-னா என்னன்னு தெரியுமா
ஸ்டார்ஸ் ஏன் மினுக்குது,நைட்டுல நட்சத்திரம் ஏன் மினுக்கு மினுக்குன்னு மின்னுது
இந்த மேத்ஸ் ப்ராப்ளத்தை சால்வ் பண்ணுங்க,இந்த மேத்ஸ் கணக்க போட்டு குடுங்கப்பா
இந்த லெசனை ஈஸியா எக்ஸ்ப்ளைன் பண்ணுங்க,இந்த பாடத்தை கொஞ்சம் புரியுற மாதிரி விளக்கு
என் ஸ்கூல் பத்தி ஒரு லைன் எழுதுங்க,என் ஸ்கூல பத்தி ஒரு வரிசொல்லுங்க
ஹோம்வொர்க் பண்ண எனக்கு ஹெல்ப் பண்ணுங்க,ஹோம்வொர்க் பண்ண எனக்கு கொஞ்சம் ஹெல்ப் பண்ணுங்கப்பு
இந்த லெசன்ல இருந்து கேள்விகள் ரெடி பண்ணுங்க,இந்த பாடத்துல இருந்து நாலு கேள்விய ரெடி பண்ணுங்க
இந்த வேர்டுக்கு என்ன அர்த்தம்னுசொல்லுங்க,இந்த வார்த்தைக்கு என்ன அர்த்தம்னுசொல்லுங்க
மரங்கள் பத்தி ஒரு பாராவாக எழுதுங்க,மரம் செடி கொடி பத்தி ஒரு பாராவா எழுது
இந்த பாடத்தை சுருக்கமாசொல்லுங்க,இந்த பாடத்தை சுருக்கமா மொக்கையாசொல்லுங்க
எக்ஸாமுக்கு டிப்ஸ் குடுங்க,எக்ஸாமுக்கு போறதுக்கு முன்னாடி சில டிப்ஸ் குடுங்க
தமிழ் வாய்ப்பாட்டுசொல்லுங்க,தமிழ் வாய்ப்பாடுசொல்லுங்கப்பா
ஒரு நாயைப் பத்தி ஒரு கதை எழுதுங்க,ஒரு நாய்க்குட்டிய பத்தி கதை ஒன்னுசொல்லுங்க
மழை பத்தி ஒரு கவிதைசொல்லுங்க,மழையை பத்தி ஒரு கவிதைசொல்லுங்க
எங்க அம்மா பத்தி ஒரு கட்டுரை எழுதுங்க,எங்க அம்மாவ பத்தி ஒரு கட்டுரை எழுதி குடுங்க
என்னோட கிராமரை கரெக்ட் பண்ணுங்க,என்னோட இங்கிலீஷ் கிராமரை கொஞ்சம் செக் பண்ணுங்க
இந்த சென்டென்ஸை மாத்தி எழுதுங்க,இந்த சென்டென்ஸை வேற மாதிரி மாத்தி எழுது
இதை ஈஸியா இங்கிலீஷ்லசொல்லுங்க,இத இங்கிலீஷ்ல எப்புடி ஈஸியா சொல்லலாம்
இங்கிலீஷை தமிழுக்கு டிரான்ஸ்லேட் பண்ணுங்க,இங்கிலீஷ்ல இருக்கறத தமிழுக்கு மாத்தி குடுங்க
இந்த வேர்டுக்கு ஒத்த வார்த்தைகள்சொல்லுங்க,இதுக்கு இணையான வேற வார்த்தைசொல்லுங்க
மகிழ்ச்சி'ங்கிற வார்த்தைய வச்சு ஒரு சென்டென்ஸ் எழுதுங்க,'மகிழ்ச்சி'ங்கிற வார்த்தைய வச்சு ஒரு வரி எழுது
ஒரு ரைம்ஸ் ரெடி பண்ணுங்க,ஒரு சின்ன ரைம்ஸ் ரெடி பண்ணுங்க
டெக்ஸ்ட் வச்சு ஒரு பூனை படம் வரையுங்க,டெக்ஸ்ட் வச்சு ஒரு பூனை படம் போடு
ஒரு கார்ட்டூன் கதை ரெடி பண்ணுங்க,ஒரு கார்ட்டூன் கதைசொல்லுங்க
ஒரு தேவதை கதை எழுதுங்க,தேவதை கதையெல்லாம் உண்மையா ஒரு கதைசொல்லுங்க
ஒரு செம ஜோக்சொல்லுங்க,ஒரு செம ஜோக் ஒன்னு சொல்லி சிரிப்பு காட்டு
பசங்களுக்கு புதிர்கள் ரெடி பண்ணுங்க,புள்ளைங்களுக்கு விடுகதை போடு
தூங்கும் போது கேக்குற மாதிரி ஒரு கதைசொல்லுங்க,தூங்கும்போது கேக்குற மாதிரி ஒரு கதைசொல்லுங்க
ஏதாவது ஒரு காமெடி ஐடியாசொல்லுங்க,எதாச்சும் காமெடி ஐடியா இருந்தாசொல்லுங்க
புதுசா ஒரு சூப்பர் ஹீரோவ உருவாக்குங்க,புதுசா ஒரு சூப்பர் ஹீரோவை உருவாக்கு
ஒரு மேஜிக் உலகம் எப்படி இருக்கும்னுசொல்லுங்க,மேஜிக் உலகம் எப்புடி இருக்கும்னு கற்பனை பண்ணிசொல்லுங்க
டங் ட்விஸ்டர்ஸ்சொல்லுங்க,டங் ட்விஸ்டர்ஸ் எதாச்சும்சொல்லுங்க
இந்த நம்பர்ஸை கூட்டுங்க,இந்த நம்பரை எல்லாம் ஒண்ணா கூட்டு
இந்த நம்பர்ஸை கழியுங்க,இதுல இருந்து அதை கழிச்சுசொல்லுங்க
இதை இதால வகுங்க,இந்த நம்பரை அதால வகுத்து குடுங்க
ஃப்ராக்ஷன்ஸ் பத்திசொல்லுங்க,பின்னம் (Fractions) பத்திசொல்லுங்க
ஈவன் நம்பர்னா என்ன,இரட்டைப்படை எண்-னா என்ன
ஆட் நம்பர்னா என்ன,ஒற்றைப்படை எண்-னா என்ன
ஷேப்ஸ் பத்திசொல்லுங்க,வட்டம் சதுரம்னு ஷேப்ஸ் பத்திசொல்லுங்க
டைம்னா என்ன,டைம்னா என்னங்கய்யா
இந்த வேர்ட் ப்ராப்ளத்தை சால்வ் பண்ணுங்க,இந்த வேர்ட் ப்ராப்ளத்தை சால்வ் பண்ணுங்க
இந்தியான்னா என்ன,நம்ம நாட்டை (India) பத்திசொல்லுங்க
பிரைம் மினிஸ்டர் யாரு,இப்ப யாரு பிரைம் மினிஸ்டர்
விலங்குகள்னா என்ன,மிருகங்கள் பத்திசொல்லுங்க
செடி கொடிகள் பத்திசொல்லுங்க,செடி கொடிகள் பத்தி விவரமாசொல்லுங்க
கடல்னா என்ன,கடல்னா என்ன அதுல ஏன் அவ்ளோ தண்ணி இருக்கு
ஒரு பறவை பேருசொல்லுங்க,ஒரு பறவை பேருசொல்லுங்க
ஒரு பழத்தோட பேருசொல்லுங்க,ஒரு பழத்தோட பேருசொல்லுங்க
மேப்-னா என்ன,மேப்-னா என்னங்கப்பு
ட்ராஃபிக் ரூல்ஸ் பத்திசொல்லுங்க,ரோட்டுல போகும்போது டிராஃபிக் ரூல்ஸை எப்புடி ஃபாலோ பண்ணணும்
நாம ஏன் மரங்களை காப்பாத்தணும்,மரம் வளர்க்குறது ஏன் முக்கியம்
காத்துனா என்ன,காத்துன்னா என்ன அது கண்ணுக்கு தெரியாதே!
தண்ணின்னா என்ன,தண்ணி பத்திசொல்லுங்க
செடியோட பாகங்கள் பத்திசொல்லுங்க,செடியோட பாகங்களை படம் போட்டு காட்டு
காந்தம்னா என்ன,காந்தம் எப்புடி ஒட்டுது
கரண்ட்-னா என்ன,கரண்ட் எப்புடி வேலை செய்யுது
நாம ஏன் சாப்பிடுறோம்,நாம ஏன் டெய்லி சாப்பாட திங்குறோம்
ஐந்து புலன்கள் என்னென்ன,நம்ம அஞ்சு புலன்கள் என்னென்ன
சத்தம்னா என்ன,சத்தம்னா என்ன அது எப்புடி காதுக்கு கேக்குது
சூடுனா என்ன,சூடுனா என்ன அது ஏன் சுடுது
நமக்கு ஏன் வேர்த்துக்குது,நமக்கு ஏன் வேர்த்து கொட்டுது
கம்ப்யூட்டர்னா என்ன,கம்ப்யூட்டர்னா என்னங்கய்யா
AI-னா என்ன,AI-னா என்ன அது நிஜமாவே யோசிக்குமா
மொபைல் எப்படி வேலை செய்யுது,மொபைல் போன் எப்புடி வேலை செய்யுது
இன்டர்நெட்டுனா என்ன,இன்டர்நெட்டுனா என்ன
ரோபோ நிஜமாவே இருக்கா,ரோபோ நிஜமாவே இருக்கா அது நம்மள மாதிரி பேசுமா
AI-ஆல யோசிக்க முடியுமா,AI-ஆல யோசிக்க முடியுமா
