question,answer
Hey assistant,Hey! I'm ready to assist.
Weather update in London,The temperature in London is around 30�C.
Hey assistant,Hi there! What can I do for you?
How's the weather in London?,Currently cloudy in London.
Schedule wake up at 12:45 AM,Your alarm is scheduled at 12:45 AM.
Good morning,Hi there! What can I do for you?
Hi,Hello! How  is your day going?
Good evening,Hey! I'm ready to assist.
Temperature in Paris,Rain expected today in Paris.
Play my favorite song,Music playback started.
Hi,Hello! How can I help you?
Play songs,Starting your music.
Add alarm for 6:30 PM,Alarm set for 6:30 PM.
What is the weather in Delhi?,Currently cloudy in Delhi.
Play my favorite song,Here  is your favorite track.
Is it raining in New York?,Currently cloudy in New York.
Hi,Hello! How  is your day going?
Can you tell the time?,"Right now, it's 02:57 PM."
Hi,Hi there! What can I do for you?
Temperature in Paris,Rain expected today in Paris.
What is the weather in New York?,Rain expected today in New York.
Temperature in London,Weather looks pleasant in London.
Time now,"Right now, it's 02:57 PM."
Hi,Hey! I'm ready to assist.
What is the weather in Chennai?,The temperature in Chennai is around 30�C.
Create alarm at 4:15 AM,Done! Alarm activated for 4:15 AM.
Can you tell the time?,It  is currently 02:57 PM.
Good morning,Hey! I'm ready to assist.
Tell me the time,The current time is 02:57 PM.
Hi,Hello! How can I help you?
Play songs,Starting your music.
What time is it?,It is now 02:57 PM.
Add alarm for 11:15 AM,Wake-up call set for 11:15 AM.
Play my favorite song,Music playback started.
How's the weather in Mumbai?,Currently cloudy in Mumbai.
Can you tell the time?,The current time is 02:57 PM.
Good evening,Hi there! What can I do for you?
Create alarm at 7:00 PM,Wake-up call set for 7:00 PM.
Play my favorite song,Here  is your favorite track.
Play some music,Here  is your favorite track.
Start music,Enjoy your music!
Can you tell the time?,It is now 02:57 PM.
What time is it?,The current time is 02:57 PM.
Weather update in Tokyo,Rain expected today in Tokyo.
Good morning,Good to hear from you!
Play Shape of You,Music playback started.
Time now,The time is 02:57 PM.
Wake me up at 7:00 AM,Wake-up call set for 7:00 AM.
Hello,Good to hear from you!
Set alarm for 4:30 PM,Wake-up call set for 4:30 PM.
What is the weather in Singapore?,The temperature in Singapore is around 30�C.
Play my favorite song,Playing Faded now.
Good morning,Hi there! What can I do for you?
Hi,Hi there! What can I do for you?
Schedule wake up at 8:45 PM,Your alarm is scheduled at 8:45 PM.
Add alarm for 3:30 PM,Your alarm is scheduled at 3:30 PM.
Weather update in New York,The weather in New York is sunny with 28�C.
Play Believer,Playing Believer now.
Is it raining in Delhi?,Weather looks pleasant in Delhi.
Hey assistant,Hi there! What can I do for you?
Hello,Good to hear from you!
Hello,Hey! I'm ready to assist.
What is the weather in Dubai?,Weather looks pleasant in Dubai.
Good morning,Good to hear from you!
Hey assistant,Hello! How  is your day going?
Play some music,Enjoy your music!
Is it raining in Chennai?,Currently cloudy in Chennai.
Hey assistant,Hello! How  is your day going?
Tell me the time,"Right now, it's 02:57 PM."
Tell me the time,It  is currently 02:57 PM.
Is it raining in Mumbai?,The temperature in Mumbai is around 30�C.
Temperature in Singapore,The weather in Singapore is sunny with 28�C.
Hello,Hello! How can I help you?
Good evening,Hey! I'm ready to assist.
What is the weather in Singapore?,Weather looks pleasant in Singapore.
Current time,The current time is 02:57 PM.
Current time,The current time is 02:57 PM.
Play songs,Music playback started.
Wake me up at 2:00 AM,Alarm set for 2:00 AM.
Play my favorite song,Here  is your favorite track.
Set alarm for 10:15 PM,Wake-up call set for 10:15 PM.
Can you tell the time?,The current time is 02:57 PM.
Start music,Enjoy your music!
Hi,Good to hear from you!
Can you tell the time?,The current time is 02:57 PM.
Good evening,Hey! I'm ready to assist.
Good evening,Hey! I'm ready to assist.
Set alarm for 11:30 PM,Alarm set for 11:30 PM.
Play Faded,Enjoy your music!
Time now,It is now 02:57 PM.
Hey assistant,Good to hear from you!
Time now,The time is 02:57 PM.
Play Closer,Playing Closer now.
Play Shape of You,Playing Shape of You now.
Play some music,Playing Perfect now.
Tell me the time,It is now 02:57 PM.
Hello,Hey! I'm ready to assist.
Play songs,Starting your music.
Play Perfect,Playing Perfect now.
Set alarm for 4:00 PM,Reminder set for 4:00 PM.
Current time,The current time is 02:57 PM.
Hi,Hello! How can I help you?
Weather update in Paris,Weather looks pleasant in Paris.
Play some music,Playing Let Her Go now.
Temperature in Singapore,The weather in Singapore is sunny with 28�C.
