normal_tamil,theni_slang
சூரியன் அப்படின்னா என்னங்க,சூரியன்னா என்னதுப்பா
வானம் ஏன் நீலமா தெரிஞ்சிருக்கு,வானம் ஏன் இப்படி பளீச் னு நீல நெறத்துல
ஈர்ப்பு விசைன்னா என்னனு சுலபமா சொல்லுங்க,ஈர்ப்பு விசைன்னா என்னப்பா
வானவில் அப்படின்னா என்னங்க,வானவில்லுன்னா என்னதுப்பா
பறவைகள் எப்படி வானத்துல பறக்குது,பறவைங்க எப்படிப்பா அம்புட்டு வானத்துல பறக்குது
நாம ஏன் தூங்கணும்,நாம எதுக்குப்பா தூங்கணும்
நீர் சுத்தி சுத்தி போறதுக்கு என்னனு சொல்வாங்க,தண்ணி சுத்திச் சுத்திப் போகுமே அதுக்கு என்ன சொல்லுவாங்க
இரவும் பகலும் எப்படி வருதுனு சொல்லுங்க,இந்த இரவும் பகலும் எப்படிப்பா மாத்தி மாத்தி வருது
கோள் அப்படின்னா என்னங்க,கோளுன்னா என்னதுப்பா
நட்சத்திரங்கள் ஏன் இவ்வளவு ஒளியா ஜொலிக்குது,இந்த நட்சத்திரமெல்லாம் ஏன் இம்புட்டு உசிரைக் குடுத்து ஜொலிக்குது
இந்த கணித சிக்கலை தீர்க்கவும்,இந்த கணக்குச் சிக்கலை கொஞ்சம் தீர்த்து வைங்க
இந்தப் பாடத்தை எளிமையாக விளக்குங்கள்,இந்தப் பாடத்துல என்னதான் சொல்ல வர்றாங்கன்னு புரியுற மாதிரி சொல்லுங்க
எனது பள்ளியைப் பற்றி வரிகளை எழுதுங்கள்,எங்க பள்ளிக்கூடத்தைப் பத்தி ஒரு அஞ்சு வரி நச்சுன்னு எழுதித் தாங்கப்பா
வீட்டுப்பாடத்தில் எனக்கு உதவுங்கள்,இந்த வீட்டுப்பாடம் பண்றதுக்கு எனக்கு கொஞ்சம் ஒத்தாசையா இருங்கப்பா
இந்த Word அர்த்தத்தை விளக்குங்கள்,இந்த வார்த்தைக்கு என்னதான் அர்த்தம்னு புரியுற மாதிரி சொல்லுங்கப்பா
